CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM00001	阿归养血胶囊	Egui Yangxue Jiaonang	Oral
CPM00002	阿归养血颗粒	Egui Yangxue Keli	Oral
CPM00003	阿归养血口服液	Egui Yangxue Koufuye	Oral
CPM00004	阿归养血糖浆	Egui Yangxue Tangjiang	Oral
CPM00005	阿胶补血膏	Ejiao Buxue Gao	Oral
CPM00006	阿胶补血颗粒	Ejiao Buxue Keli	Oral
CPM00007	阿胶补血口服液	Ejiao Buxue Koufuye	Oral
CPM00008	阿胶参芪酒	Ejiao Shenqi Jiu	Oral
CPM00009	阿胶当归合剂	A jiao Danggui Heji	Oral
CPM00010	阿胶当归胶囊	Ejiao Danggui Jiaonang	Oral
CPM00011	阿胶当归颗粒	Ejiao Danggui Keli	Oral
CPM00012	阿胶当归口服液	Ejiao Danggui Koufuye	Oral
CPM00013	阿胶胶囊	Ejiao Jiaonang	Oral
CPM00014	阿胶颗粒	Ejiao Keli	Oral
CPM00015	阿胶口服液	Ejiao Koufuye	Oral
CPM00016	阿胶牡蛎口服液	Ejiao Muli Koufuye	Oral
CPM00017	阿胶强骨口服液	Ejiao Qianggu Koufuye	Oral
CPM00018	阿胶三宝膏	Ejiao Sanbao Gao	Oral
CPM00019	阿胶三宝颗粒	Ejiao Sanbao Keli	Oral
CPM00020	阿胶生化膏	Ejiao Shenghua Gao	Oral
CPM00021	阿胶养血膏	Ejiao Yangxue Gao	Oral
CPM00022	阿胶养血颗粒	Ejiao Yangxue Keli	Oral
CPM00023	阿胶益寿合剂	Ejiao Yishou Heji	Oral
CPM00024	阿胶益寿晶	Ejiao Yishou Jing	Oral
CPM00025	阿胶益寿口服液	Ejiao Yishou Koufuye	Oral
CPM00026	阿胶远志膏	Ejiao Yuanzhi Gao	Oral
CPM00027	阿胶珍珠膏	Ejiao Zhenzhu Gao	Oral
CPM00028	阿拉坦五味丸	Alatan Wuwei Wan	Oral
CPM00029	阿里红咳喘口服液	Alihong Kechuan Koufuye	Oral
CPM00030	阿那日八味散	Anari Bawei San	Oral
CPM00031	阿那日十四味散	Ana ri Shisiwei San	Oral
CPM00032	阿那日五味散	Anari Wuwei San	Oral
CPM00033	阿娜尔妇洁液	Ana’er Fujie Ye	Topical
CPM00034	阿魏八味丸	Awei Bawei Wan	Oral
CPM00035	阿魏化痞膏	Awei Huapi Gao	Topical
CPM00036	阿珍养血口服液	Ezhen Yangxue Koufuye	Oral
CPM00037	艾迪注射液	Aidi Zhusheye	Injection
CPM00038	艾附暖宫丸	Aifu Nuangong Wan	Oral
CPM00039	艾叶油胶囊	Aiyeyou Jiaonang	Oral
CPM00040	艾叶油软胶囊	Aiyeyou Ruanjiaonang	Oral
CPM00041	艾愈胶囊	Aiyu Jiaonang	Oral
CPM00042	爱维心口服液	Aiweixin Koufuye	Oral
CPM00043	安喘片	Anchuan Pian	Oral
CPM00044	安多霖胶囊	Anduolin Jiaonang	Oral
CPM00045	安儿宁颗粒	An’erning Keli	Oral
CPM00046	安尔眠胶囊	An’ermian Jiaonang	Oral
CPM00047	安尔眠颗粒	An´ermian Keli	Oral
CPM00048	安尔眠糖浆	Anermian Tangjiang	Oral
CPM00049	安宫降压丸	Angong Jiangya Wan	Oral
CPM00050	安宫牛黄胶囊	Angong Niuhuang Jiaonang	Oral
CPM00051	安宫牛黄片	Angong Niuhuang Pian	Oral
CPM00052	安宫牛黄栓	Angong Niuhuang Shuan	Topical
CPM00053	安宫牛黄丸	Angong Niuhuang Wan	Oral
CPM00054	安宫止血膏	Angong Zhixue Gao	Oral
CPM00055	安宫止血颗粒	Angong Zhixue Keli	Oral
CPM00056	安宫止血丸	Angong Zhixue Wan	Oral
CPM00057	安康胶囊	Ankang Jiaonang	Oral
CPM00058	安康颗粒	Ankang Keli	Oral
CPM00059	安康片	Ankang Pian	Oral
CPM00060	安康欣胶囊	Ankangxin Jiaonang	Oral
CPM00061	安坤胶囊	Ankun Jiaonang	Oral
CPM00062	安坤颗粒	Ankun Keli	Oral
CPM00063	安坤片	Ankun Pian	Oral
CPM00064	安坤赞育丸	Ankun Zanyu Wan	Oral
CPM00065	安乐胶囊	Anle Jiaonang	Oral
CPM00066	安乐片	Anle Pian	Oral
CPM00067	安络化纤丸	Anluo Huaxian Wan	Oral
CPM00068	安络宁片	Anluoning Pian	Oral
CPM00069	安络痛酊	Anluotong Ding	Oral
CPM00070	安络痛胶囊	Anluotong Jiaonang	Oral
CPM00071	安络痛片	Anluotong Pian	Oral
CPM00072	安络痛药酒	Anluotong Yaojiu	Oral
CPM00073	安眠补脑颗粒	Anmian Bunao Keli	Oral
CPM00074	安眠补脑口服液	Anmian Bunao Koufuye	Oral
CPM00075	安眠补脑糖浆	Anmian Bunao Tangjiang	Oral
CPM00076	安脑牛黄胶囊	Annao Niuhuang Jiaonang	Oral
CPM00077	安脑牛黄片	Annao Niuhuang Pian	Oral
CPM00078	安脑片	Annao Pian	Oral
CPM00079	安脑丸	Annao Wan	Oral
CPM00080	安神宝颗粒	Anshenbao Keli	Oral
CPM00081	安神补脑分散片	Anshen Bunao Fensanpian	Oral
CPM00082	安神补脑胶囊	Anshen Bunao Jiaonang	Oral
CPM00083	安神补脑颗粒	Anshen Bunao Keli	Oral
CPM00084	安神补脑片	Anshenbunao Pian	Oral
CPM00085	安神补脑软胶囊	Anshen Bunao Ruanjiaonang	Oral
CPM00086	安神补脑液	Anhsen Bunao Ye	Oral
CPM00087	安神补气丸	Anshen Buqi Wan（Nongsuo Wan ）	Oral
CPM00088	安神补心胶囊	Anshen Buxin Jiaonang	Oral
CPM00089	安神补心六味丸	Anshen Buxin Liuwei Wan	Oral
CPM00090	安神补心片	Anshen Buxin Pian	Oral
CPM00091	安神补心丸	Anshen Buxin Wan	Oral
CPM00092	安神健脑液	Anshen Jiannao Ye	Oral
CPM00093	安神胶囊	Anshen Jiaonang	Oral
CPM00094	安神颗粒	Anshen Keli	Oral
CPM00095	安神宁	Anshen Ning	Oral
CPM00096	安神片	Anshen Pian	Oral
CPM00097	安神爽脑口服液	Anshen Shuangnao Koufuye	Oral
CPM00098	安神糖浆	Anshen Tangjiang	Oral
CPM00099	安神丸	Anshen Wan	Oral
CPM00100	安神温胆丸	Anshen Wendan Wan	Oral
CPM00101	安神养心丸	Anshen Yangxin wan	Oral
CPM00102	安神养血口服液	Anshen Yangxue Koufuye	Oral
CPM00103	安神益脑丸	Anshen Yinao Wan	Oral
CPM00104	安神镇惊二十味丸	Anshen Zhenjing Ershiwei Wan	Oral
CPM00105	安神足液	Anshen Zuye	Topical
CPM00106	安嗽化痰丸	Ansou Huatan Wan	Oral
CPM00107	安嗽片	Ansou Pian	Oral
CPM00108	安嗽糖浆	Ansou Tangjiang	Oral
CPM00109	安胎丸	Antai Wan	Oral
CPM00110	安胎益母丸	Antai Yimu Wan	Oral
CPM00111	安替可胶囊	Antike Jiaonang	Oral
CPM00112	安胃胶囊	Anwei Jiaonang	Oral
CPM00113	安胃颗粒	Anwei Keli	Oral
CPM00114	安胃片	Anwei Pian	Oral
CPM00115	安胃疡	Anwei Yang	Oral
CPM00116	安胃疡胶囊	Anweiyang Jiaonang	Oral
CPM00117	安胃止痛胶囊	Anwei Zhitong Jiaonang	Oral
CPM00118	安胃止痛片	Anwei Zhitong Pian	Oral
CPM00119	安胃止痛散	Anwei Zhitong San	Oral
CPM00120	安阳膏药	Anyang Gaoyao	Topical
CPM00121	安阳固本膏	Anyang Guben Gao	Topical
CPM00122	安阳精制膏	Anyang Jingzhi Gao	Topical
CPM00123	安中片	Anzhong Pian	Oral
CPM00124	桉绿油	Anlu You	Topical
CPM00125	氨杞康口服液	Anqikang Koufuye	Oral
CPM00126	按摩软膏	Anmo Ruangao	Topical
CPM00127	敖东壮肾丸	Aodong Zhuangshen Wan	Oral
CPM00128	澳泰乐胶囊	Aotaile Jiaonang	Oral
CPM00129	澳泰乐颗粒	Aotaile Keli	Oral
CPM00130	八宝拨云散	Babao Boyun San	Topical
CPM00131	八宝丹	Babao Dan	Oral
CPM00132	八宝丹胶囊	Babaodan Jiaonang	Oral
CPM00133	八宝惊风散	Babao Jingfeng San	Oral
CPM00134	八宝坤顺丸	Babao Kunshun Wan	Oral
CPM00135	八宝瑞生丸	Babao Ruisheng Wan	Oral
CPM00136	八宝五胆药墨	Babao Wudan Yaomo	Topical
CPM00137	八宝眼药	Babao Yanyao	Topical
CPM00138	八宝玉枢丸	Babao Yushu Wan	Oral
CPM00139	八宝镇惊丸	Babao Zhenjing Wan	Oral
CPM00140	八角茴香水	Bajiaohuixiang Shui	Oral
CPM00141	八厘散	Bali San	Oral
CPM00142	八味安宁散	Bawei Anning San	Oral
CPM00143	八味沉香胶囊	Bawei Chenxiang Jiaonang	Oral
CPM00144	八味沉香片	Bawei Chenxiang Pian	Oral
CPM00145	八味沉香散	Bawei Chenxiang San	Oral
CPM00146	八味沉香丸	Bawei Chenxiang Wan	Oral
CPM00147	八味地黄宁心口服液	Bawei Dihuang Ningxin Koufuye	Oral
CPM00148	八味和胃口服液	Bawei Hewei Koufuye	Oral
CPM00149	八味秦皮胶囊	Bawei Qinpi Jiaonang	Oral
CPM00150	八味秦皮丸	Bawei Qinpi Wan	Oral
CPM00151	八味清心沉香散	Bawei Qingxin Chenxiang San	Oral
CPM00152	八味肉桂胶囊	Bawei Rougui Jiaonang	Oral
CPM00153	八味三香散	Bawei Sanxiang San	Oral
CPM00154	八味肾气丸	Bawei Shenqi Wan	Oral
CPM00155	八味石灰华丸	Bawei Shihuihua Wan	Oral
CPM00156	八味檀香散	Bawei Tanxiang San	Oral
CPM00157	八味檀香丸	Bawei Tanxiang Wan	Oral
CPM00158	八味痛经胶囊	Bawei Tongjing Jiaonang	Oral
CPM00159	八味痛经颗粒	Bawei Tongjing Keli	Oral
CPM00160	八味痛经片	Bawei Tongjing Pian	Oral
CPM00161	八味西红花清肝热胶囊	Bawei Xihonghua Qingganre Jiaonang	Oral
CPM00162	八味西红花清肝热散	Bawei Xihonghua Qinganre San	Oral
CPM00163	八味西红花止血散	Bawei Xihonghua Zhixue San	Oral
CPM00164	八味锡类散	Bawei Xilei San	Topical
CPM00165	八味小檗皮胶囊	Bawei Xiaobopi Jiaonang	Oral
CPM00166	八味小檗皮散	Bawei Xiaobopi San	Oral
CPM00167	八味益肾丸	Bawei Yishen Wan	Oral
CPM00168	八味獐牙菜片	Bawei Zhangyacai Pian	Oral
CPM00169	八味獐牙菜丸	Bawei Zhangyacai Wan	Oral
CPM00170	八味主药散	Bawei Zhuyao San	Oral
CPM00171	八珍补汁	Bazhen Buzhi	Oral
CPM00172	八珍袋泡茶	Bazhen Daipaocha	Oral
CPM00173	八珍膏	Bazhen Gao	Oral
CPM00174	八珍颗粒	Bazhen Keli	Oral
CPM00175	八珍鹿胎膏	Bazhen Lutai Gao	Oral
CPM00176	八珍鹿胎颗粒	Bazhen Lutai Keli	Oral
CPM00177	八珍片	Bazhen Pian	Oral
CPM00178	八珍丸	Bazhen Wan（Nongsuowan）	Oral
CPM00179	八珍液	Bazhen Ye	Oral
CPM00180	八珍益母膏	Bazhen Yimu Gao	Oral
CPM00181	八珍益母胶囊	Bazhen Yimu Jiaonang	Oral
CPM00182	八珍益母颗粒	Bazhen Yimu Keli	Oral
CPM00183	八珍益母片	Bazhenyimu Pian	Oral
CPM00184	八珍益母丸	Bazhen Yimu Wan	Oral
CPM00185	八正合剂	Bazheng Heji	Oral
CPM00186	八正胶囊	Bazheng Jiaonang	Oral
CPM00187	八正颗粒	Bazheng Keli	Oral
CPM00188	八正片	Bazheng Pian	Oral
CPM00189	八子补肾胶囊	Bazi Bushen Jiaonang	Oral
CPM00190	巴戟补酒	Baji Bujiu	Oral
CPM00191	巴戟补肾丸	Baji Bushen Wan	Oral
CPM00192	巴戟胶囊	Baji Jiaonang	Oral
CPM00193	巴戟口服液	Baji Koufuye	Oral
CPM00194	巴戟振阳胶囊	Baji Zhenyang Jiaonang	Oral
CPM00195	巴桑母酥油颗粒	Basangmu Suyou Keli	Oral
CPM00196	巴桑母酥油丸	Basangmu Suyouwan	Oral
CPM00197	巴特日七味丸	Bateri Qiwei Wan	Oral
CPM00198	巴仙苁蓉强肾胶囊	Baxian Congrong Qiangshen Jiaonang	Oral
CPM00199	疤痕止痒软化膏	Bahen Zhiyang Ruanhua Gao	Topical
CPM00200	疤痕止痒软化乳膏	Bahen Zhiyang Ruanhua Rugao	Topical
CPM00201	拔毒膏	Badu Gao	Topical
CPM00202	拔毒生肌散	Badu Shengji San	Topical
CPM00203	白百抗痨颗粒	Baibai Kanglao Keli	Oral
CPM00204	白柏胶囊	Baibai Jiaonang	Oral
CPM00205	白避瘟散	Baibiwen San	Oral
CPM00206	白草香解郁安神胶囊	Baicaoxiang Jieyu'anshen Jiaonang	Oral
CPM00207	白带净胶囊	Baidaijing Jiaonang	Topical
CPM00208	白带净丸	Baidaijing Wan	Oral
CPM00209	白带片	Baidai Pian	Oral
CPM00210	白带丸	Baidai Wan	Oral
CPM00211	白癜风胶囊	Baidianfeng Jiaonang	Oral
CPM00212	白癜风丸	Baidianfeng Wan	Oral
CPM00213	白凤饮	Baifeng Yin	Oral
CPM00214	白虎合剂	Baihu Heji	Oral
CPM00215	白花蛇膏	Baihuashe Gao	Topical
CPM00216	白花蛇舌草注射液	Baihuasheshecao Zhusheye	Injection
CPM00217	白花油	Baihua You	Topical
CPM00218	白及胶囊	Baiji Jiaonang	Oral
CPM00219	白及颗粒	Baiji Keli	Oral
CPM00220	白及片	Baiji Pian	Topical
CPM00221	白及糖浆	Baiji Tangjiang	Oral
CPM00222	白酱感冒颗粒	Baijiang Ganmao Keli	Oral
CPM00223	白金丸	Baijin Wan	Oral
CPM00224	白敬宇眼药	Baijingyu Yanyao	Topical
CPM00225	白蔻调中丸	Baikou Tiaozhong Wan	Oral
CPM00226	白连止痢胶囊	Bailian Zhili Jiaonang	Oral
CPM00227	白灵片	Bailing Pian	Oral
CPM00228	白苓胶囊	Bailing Jiaonang	Oral
CPM00229	白龙跌打酒	Bailong Dieda Jiu	Topical
CPM00230	白脉软膏	Baimai Ruangao	Topical
CPM00231	白蒲黄胶囊	Baipuhuang Jiaonang	Oral
CPM00232	白蒲黄颗粒	Baipuhuang Keli	Oral
CPM00233	白蒲黄片	Baipuhuang Pian	Oral
CPM00234	白清胃散	Baiqingwei San	Topical
CPM00235	白绒止咳糖浆	Bairong Zhike Tangjiang	Oral
CPM00236	白沙糖浆	Baisha Tangjiang	Oral
CPM00237	白痧散	Baisha San	Oral
CPM00238	白石清热颗粒	Baishi Qingre Keli	Oral
CPM00239	白蚀丸	Baishi Wan	Oral
CPM00240	白树油	Baishu You	Topical
CPM00241	白头翁止痢片	Baitouweng Zhili Pian	Oral
CPM00242	白杏片	Baixing Pian	Oral
CPM00243	白药胶囊	Baiyao Jiaonang	Oral
CPM00244	白药散	Baiyao San	Oral
CPM00245	白蚁巢胶囊	Baiyichao Jiaonang	Oral
CPM00246	白益镇惊丸	Baiyi Zhenjing Wan	Oral
CPM00247	白芝颗粒	Baizhi Keli	Oral
CPM00248	白纸扇感冒颗粒	Baizhishan Ganmao Keli	Oral
CPM00249	百艾洗液	Baiai Xiye	Topical
CPM00250	百安洗液	Bai’an Xiye	Topical
CPM00251	百宝丹	Baibao Dan	Oral
CPM00252	百宝丹搽剂	Baibaodan Chaji	Topical
CPM00253	百宝丹胶囊	Baibaodan Jiaonang	Oral
CPM00254	百贝益肺胶囊	Baibei Yifei Jiaonang	Oral
CPM00255	百补酒	Baibu Jiu	Oral
CPM00256	百补增力丸	Baibu Zengli Wan	Oral
CPM00257	百部丸	Baibu Wan	Oral
CPM00258	百草妇炎清栓	Baicao Fuyanqing Shuan	Topical
CPM00259	百草油	Baicao You	Topical
CPM00260	百地滋阴丸	Baidi Ziyin Wan	Oral
CPM00261	百咳静颗粒	Baikejing Keli	Oral
CPM00262	百咳静糖浆	Baikejing Tangjiang（Ditang）	Oral
CPM00263	百咳宁颗粒	Baikening Keli	Oral
CPM00264	百咳宁片	Baikening Pian	Oral
CPM00265	百合更年安颗粒	Baihe Gengnian’an Keli	Oral
CPM00266	百合固金颗粒	Baihe Gujin Keli	Oral
CPM00267	百合固金口服液	Baihe Gujin Koufuye	Oral
CPM00268	百合固金片	Baihe Gujin Pian	Oral
CPM00269	百合固金丸	Baihe Gujin Wan（Nongsuowan）	Oral
CPM00270	百花定喘片	Baihua Dingchuan Pian	Oral
CPM00271	百花定喘丸	Baihua Dingchuan Wan	Oral
CPM00272	百花活血跌打膏	Baihua Huoxue Dieda Gao	Topical
CPM00273	百乐眠胶囊	Bailemian Jiaonang	Oral
CPM00274	百令胶囊	Bailing Jiaonang	Oral
CPM00275	百令颗粒	Bailing Keli	Oral
CPM00276	百梅止咳颗粒	Baimei Zhike Keli	Oral
CPM00277	百蕊含片	Bairui Hanpian	Oral
CPM00278	百蕊胶囊	Bairui Jiaonang	Oral
CPM00279	百蕊颗粒	Bairui Keli	Oral
CPM00280	百蕊片	Bairui Pian	Oral
CPM00281	百树油	Baishu You	Topical
CPM00282	百树真油	Baishuzhenyou	Topical
CPM00283	百效丸	Baixiao Wan	Oral
CPM00284	百癣夏塔热分散片	Baixuanxiatare Fensanpian	Oral
CPM00285	百癣夏塔热胶囊	Baixuan Xiatare Jiaonang	Oral
CPM00286	百癣夏塔热片	Baixuanxiatare Pian	Oral
CPM00287	柏艾胶囊	Baiai Jiaonang	Oral
CPM00288	柏花草胶囊	Bohuacao Jiaonang	Oral
CPM00289	柏洁洗剂	Baijie Xiji	Topical
CPM00290	柏子仁丸	Baiziren Wan	Oral
CPM00291	柏子养心胶囊	Baizi Yangxin Jiaonang	Oral
CPM00292	柏子养心片	Baizi Yangxin Pian	Oral
CPM00293	柏子养心丸	Baizi Yangxin Wan	Oral
CPM00294	柏子滋心丸	Baizi Zixin Wan	Oral
CPM00295	败毒散	Baidu San	Oral
CPM00296	败酱胶囊	Baijiang Jiaonang	Oral
CPM00297	败酱片	Baijiang Pian	Oral
CPM00298	斑龙固肾胶囊	Banlong Gushen Jiaonang	Oral
CPM00299	斑秃丸	Bantu Wan	Oral
CPM00300	板蓝大青片	Banlan Daqing Pian	Oral
CPM00301	板蓝根茶	Banlangen Cha	Oral
CPM00302	板蓝根滴丸	Banlangen Diwan	Oral
CPM00303	板蓝根滴眼液	Banlangen Diyanye	Topical
CPM00304	板蓝根分散片	Banlangen Fensanpian	Oral
CPM00305	板蓝根含片	Banlangen Hanpian	Oral
CPM00306	板蓝根胶囊	Banlangen Jiaonang	Oral
CPM00307	板蓝根咀嚼片	Banlangen Jujuepian	Oral
CPM00308	板蓝根颗粒	Banlangen Keli	Oral
CPM00309	板蓝根口服液	Banlangen Koufuye	Oral
CPM00310	板蓝根泡腾片	Banlangen Paotengpian	Oral
CPM00311	板蓝根片	Banlangen Pian	Oral
CPM00312	板蓝根糖浆	Banlangen Tangjiang	Oral
CPM00313	板蓝根注射液	Banlangen Zhusheye	Injection
CPM00314	板蓝解毒注射液	Banlan Jiedu Zhusheye	Injection
CPM00315	板蓝清热颗粒	Banlan Qingre Keli	Oral
CPM00316	半贝丸	Banbei Wan	Oral
CPM00317	半硫丸	Banliu Wan	Oral
CPM00318	半夏和胃颗粒	Banxia Hewei Keli	Oral
CPM00319	半夏露颗粒	Banxialu keli	Oral
CPM00320	半夏曲	Banxia Qu	Oral
CPM00321	半夏糖浆	Banxia Tangjiang	Oral
CPM00322	半夏天麻丸	Banxia Tianma Wan	Oral
CPM00323	半夏止咳糖浆	Banxia Zhike Tangjiang	Oral
CPM00324	半枝莲胶囊	Banzhilian Jiaonang	Oral
CPM00325	半枝莲片	Banzhilian Pian	Oral
CPM00326	薄荷喉片	Bohehou Pian	Oral
CPM00327	薄荷六一散	Bohe Liuyi San	Oral
CPM00328	薄荷油	Bohe You	Topical
CPM00329	薄荷止痒酊	Bohe Zhiyang Ding	Topical
CPM00330	薄芝菌注射液	Bozhijun Zhusheye	Injection
CPM00331	薄芝片	Bozhi Pian	Oral
CPM00332	宝宝乐	Baobaole	Oral
CPM00333	宝宝牛黄散	Baobao Niuhuang San	Oral
CPM00334	宝儿康散	Bao´erkang San	Oral
CPM00335	宝儿康糖浆	Bao Er Kang Tang Jiang	Oral
CPM00336	宝咳宁颗粒	Baokening Keli	Oral
CPM00337	宝珍橡胶膏	Baozhen Xiangjiao Gao	Topical
CPM00338	保安万灵丹	Bao'an Wanling Dan	Oral
CPM00339	保安万灵丸	Baoan Wanling Wan	Oral
CPM00340	保赤散	Baochi San	Oral
CPM00341	保赤一粒金散	Baochiyilijn San	Oral
CPM00342	保赤一粒金丸	Baochi Yilijin Wan	Oral
CPM00343	保儿安颗粒	Baoeran Keli	Oral
CPM00344	保儿宁颗粒	Baoerning Keli	Oral
CPM00345	保儿宁糖浆	Bao’erning Tangjiang	Oral
CPM00346	保妇康凝胶	Baofukang Ningjiao	Topical
CPM00347	保妇康泡沫剂	Baofukang Paomoji	Topical
CPM00348	保妇康栓	Baofukang Shuan	Topical
CPM00349	保妇康阴道泡腾片	Baofukang Yindao Paotengpian	Topical
CPM00350	保和咀嚼片	Baohe Jujuepian	Oral
CPM00351	保和颗粒	Baohe Keli	Oral
CPM00352	保和口服液	Baohe Koufuye	Oral
CPM00353	保和片	Baohe Pian	Oral
CPM00354	保和丸	Baohe Wan	Oral
CPM00355	保和液	Baohe Ye	Oral
CPM00356	保喉片	Baohou Pian	Oral
CPM00357	保济口服液	Baoji Koufuye	Oral
CPM00358	保济丸	Baoji Wan	Oral
CPM00359	保济油	Baoji You	Topical
CPM00360	保利尔胶囊	Baolier Jiaonang	Oral
CPM00361	保宁半夏颗粒	Baoning Banxia Keli	Oral
CPM00362	保宁半夏曲	Baoning Banxia Qu	Oral
CPM00363	保胎灵	Batailing	Oral
CPM00364	保胎灵胶囊	Baotailing Jiaonang	Oral
CPM00365	保胎灵片	Baotailing Pian	Oral
CPM00366	保胎丸	Baotai Wan	Oral
CPM00367	保胎无忧胶囊	Baotai Wuyou Jiaonang	Oral
CPM00368	保胎无忧片	Baotai Wuyou Pian	Oral
CPM00369	保胎无忧散	Baotai Wuyou San	Oral
CPM00370	保胃胶囊	Baowei Jiaonang	Oral
CPM00371	保心包	Baoxin Bao	Topical
CPM00372	保心胶囊	Baoxin Jiaonang	Oral
CPM00373	保心宁胶囊	Baoxinning Jiaonang	Oral
CPM00374	保心宁片	Baoxinning Pian	Oral
CPM00375	保心片	Baoxin Pian	Oral
CPM00376	保婴夺命散	Baoying Duoming San	Oral
CPM00377	保婴散	Baoying San	Oral
CPM00378	保婴镇惊丸	Baoying Zhenjing Wan	Oral
CPM00379	保幼化风丹	Baoyou Huafeng Dan	Oral
CPM00380	保真膏	Baozhen Gao	Topical
CPM00381	葆宫止血颗粒	Baogong Zhixue Keli	Oral
CPM00382	抱龙丸	Baolong Wan	Oral
CPM00383	豹骨活络丸	Baogu Huoluo Wan	Oral
CPM00384	豹骨酒	Baogu Jiu	Oral
CPM00385	豹骨木瓜酒	Baogu Mugua Jiu	Oral
CPM00386	豹骨追风膏	Baogu Zhuifeng Gao	Topical
CPM00387	北豆根滴丸	Beidougen Diwan	Oral
CPM00388	北豆根分散片	Beidougen Fensanpian	Oral
CPM00389	北豆根胶囊	Beidougen Jiaonang	Oral
CPM00390	北豆根咀嚼片	Beidougen Jujuepian	Oral
CPM00391	北豆根片	Beidougen Pian	Oral
CPM00392	北豆根软胶囊	Beidougen Ruanjiaonang	Oral
CPM00393	北芪口服液	Beiqi Koufuye	Oral
CPM00394	北芪片	Beiqi Pian	Oral
CPM00395	北芪五加片	Beiqi Wujia Pian	Oral
CPM00396	贝参平喘胶囊	Beishen Pingchuan Jiaonang	Oral
CPM00397	贝桔止咳糖浆	Beijie Zhike Tangjiang	Oral
CPM00398	贝沥止咳口服液	Beili Zhike Koufuye	Oral
CPM00399	贝羚胶囊	Beiling Jiaonang	Oral
CPM00400	贝羚散	Beiling San	Oral
CPM00401	贝母二冬膏	Beimu Erdong Gao	Oral
CPM00402	贝母花流浸膏	Beimuhua Liujingao	Oral
CPM00403	贝母花片	Beimuhua Pian	Oral
CPM00404	贝母梨膏	Beimu Ligao	Oral
CPM00405	倍芪腹泻贴	Beiqi Fuxie Tie	Topical
CPM00406	鼻窦炎口服液	Bidouyan Koufuye	Oral
CPM00407	鼻康胶囊	Bikang Jiaonang	Oral
CPM00408	鼻康片	Bikang Pian	Oral
CPM00409	鼻宁喷雾剂	Bining Penwuji	Topical
CPM00410	鼻塞通滴鼻液	Bisaitong Dibiye	Topical
CPM00411	鼻舒适片	Bishushi Pian	Oral
CPM00412	鼻通滴鼻剂	Bitong Dibiji	Topical
CPM00413	鼻通宁滴剂	Bitongning Diji	Topical
CPM00414	鼻通丸	Bitong Wan	Oral
CPM00415	鼻血止颗粒	Bixuezhi Keli	Oral
CPM00416	鼻炎滴剂	Biyan Diji	Topical
CPM00417	鼻炎康片	Biyankang Pian	Oral
CPM00418	鼻炎灵片	Biyanling Pian	Oral
CPM00419	鼻炎灵丸	Biyanling Wan	Oral
CPM00420	鼻炎宁冲剂	Biyanning Chongji	Oral
CPM00421	鼻炎宁胶囊	Biyanning Jiaonang	Oral
CPM00422	鼻炎片	Biyan Pian	Oral
CPM00423	鼻炎糖浆	Biyan Tangjiang	Oral
CPM00424	鼻咽灵片	Biyanling Pian	Oral
CPM00425	鼻咽清毒剂	Biyan Qingdu Ji	Oral
CPM00426	鼻咽清毒颗粒	Biyan Qingdu Keli	Oral
CPM00427	鼻渊胶囊	Biyuan Jiaonang	Oral
CPM00428	鼻渊片	Biyuan Pian	Oral
CPM00429	鼻渊软胶囊	Biyuan Ruanjiaonang	Oral
CPM00430	鼻渊舒胶囊	Biyuanshu Jiaonang	Oral
CPM00431	鼻渊舒口服液	Biyuanshu Koufuye	Oral
CPM00432	鼻渊糖浆	Biyuan Tangjiang	Oral
CPM00433	鼻渊通窍颗粒	Biyuantongqiao Keli	Oral
CPM00434	鼻渊丸	Biyuan Wan	Oral
CPM00435	比拜克胶囊	Bibaike Jiaonang	Oral
CPM00436	荜铃胃痛颗粒	Biling Weitong Keli	Oral
CPM00437	萆薢分清丸	Bixie Fenqing Wan	Oral
CPM00438	痹克颗粒	Bike Keli	Oral
CPM00439	痹克片	Bike Pian	Oral
CPM00440	痹祺胶囊	Biqi Jiaonang	Oral
CPM00441	痹通药酒	Bitong Yaojiu	Oral
CPM00442	痹痛酊	Bitong Ding	Oral
CPM00443	痹痛宁胶囊	Bitongning Jiaonang	Oral
CPM00444	痹痛熨剂	Bitong Yunji	Topical
CPM00445	痹欣片	Bixin Pian	Oral
CPM00446	碧玉散	Biyu San	Oral
CPM00447	碧云砂乙肝颗粒	Biyunsha Yigan Keli	Oral
CPM00448	避瘟胶囊	Biwen Jiaonang	Oral
CPM00449	避瘟散	Biwen San	Oral
CPM00450	扁蕾颗粒	Bianlei Keli	Oral
CPM00451	便秘通	Bianmitong	Oral
CPM00452	便秘通软膏	Bianmitong Ruangao	Topical
CPM00453	便乃通茶	Biannaitong Cha	Oral
CPM00454	便通胶囊	Biantong Jiaonang	Oral
CPM00455	便通片	Biantong Pian	Oral
CPM00456	表热清胶囊	Biaoreqing Jiaonang	Oral
CPM00457	表热清颗粒	Biaoreqing Keli	Oral
CPM00458	表实感冒颗粒	Biaoshi Ganmao Keli	Oral
CPM00459	表虚感冒胶囊	Biaoxu Ganmao Jiaonang	Oral
CPM00460	表虚感冒颗粒	Biaoxu Ganmao Keli	Oral
CPM00461	鳖甲煎丸	Biejia Jianwan	Oral
CPM00462	鳖甲胶	Biejia Jiao	Oral
