CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM02921	喉舒宁胶囊	Houshuning Jiaonang	Oral
CPM02922	喉舒宁片	Houshuning Pian	Oral
CPM02923	喉痛解毒丸	Houtong Jiedu Wan	Oral
CPM02924	喉痛灵颗粒	Houtongling Keli	Oral
CPM02925	喉痛灵片	Houtongling Pian	Oral
CPM02926	喉痛片	Houtong Pian	Oral
CPM02927	喉痛丸	Houtong Wan	Oral
CPM02928	喉痛消炎丸	Houtong Xiaoyan Wan	Oral
CPM02929	喉炎丸	Houyan Wan	Oral
CPM02930	喉咽清颗粒	Houyanqing Keli	Oral
CPM02931	喉咽清口服液	Houyanqing Koufuye	Oral
CPM02932	喉药散	Houyao San	Oral
CPM02933	喉症丸	Houzheng Wan	Topical
CPM02934	猴耳环消炎胶囊	Houerhuan Xiaoyan Jiaonang	Oral
CPM02935	猴耳环消炎颗粒	Houerhuan Xiaoyan Keli	Oral
CPM02936	猴耳环消炎片	Houerhuan Xiaoyan Pian	Oral
CPM02937	猴菇片	Hougu Pian	Oral
CPM02938	猴菇饮	Hougu Yin	Oral
CPM02939	猴头健胃灵胶囊	Houtou Jianweiling Jiaonang	Oral
CPM02940	猴头健胃灵片	Houtou Jianweiling Pian	Oral
CPM02941	猴头菌片	Houtoujun Pian	Oral
CPM02942	猴枣牛黄散	Houzao Niuhuang San	Oral
CPM02943	厚朴排气合剂	Houpo Paiqi Heji	Oral
CPM02944	厚元行气丸	Houyuan Xingqi Wan	Oral
CPM02945	胡日查六味丸	Huricha Liuwei Wan	Oral
CPM02946	胡氏六神丸	Hushi Liushen Wan	Oral
CPM02947	糊药	Huyao	Oral
CPM02948	虎标万金油	Hubiao Wanjinyou	Topical
CPM02949	虎参软膏	Hushen Ruangao	Topical
CPM02950	虎地肠溶胶囊	Hudi Changrong Jiaonang	Oral
CPM02951	虎驹乙肝胶囊	Huju Yigan Jiaonang	Oral
CPM02952	虎驹乙肝片	Huju Yigan Pian	Oral
CPM02953	虎力散	Huli San	Oral
CPM02954	虎力散胶囊	Hulisan Jiaonang	Oral
CPM02955	虎力散片	Hulisan Pian	Oral
CPM02956	虎梅含片	Humei Hanpian	Oral
CPM02957	虎杖矾石搽剂	Huzhang Fanshi Chaji	Topical
CPM02958	虎杖伤痛酊	Huzhang Shangtong Ding	Topical
CPM02959	虎杖叶胶囊	Huzhangye Jiaonang	Oral
CPM02960	琥珀安神丸	Hupo Anshen Wan	Oral
CPM02961	琥珀抱龙胶囊	Hupo Baolong Jiaonang	Oral
CPM02962	琥珀抱龙丸	Hupo Baolong Wan	Oral
CPM02963	琥珀多寐丸	Hupo Duomei Wan	Oral
CPM02964	琥珀还睛丸	Hupo Huanjing Wan	Oral
CPM02965	琥珀化痰镇惊丸	Hupo Huatan Zhenjing Wan	Oral
CPM02966	琥珀利气丸	Hupo Liqi Wan	Oral
CPM02967	琥珀消石颗粒	Hupo Xiaoshi Keli	Oral
CPM02968	护肝布祖热颗粒	Hugan Buzure Keli	Oral
CPM02969	护肝胶囊	Hugan Jiaonang	Oral
CPM02970	护肝颗粒	Hugan Keli	Oral
CPM02971	护肝宁胶囊	Huganning Jiaonang	Oral
CPM02972	护肝宁片	Huganning Pian	Oral
CPM02973	护肝片	Hugan Pian	Oral
CPM02974	护肝丸	Hugan Wan	Oral
CPM02975	护骨胶囊	Hugu Jiaonang	Oral
CPM02976	护肾保元合剂	Hushen Baoyuan Heji	Oral
CPM02977	护心胶囊	Huxin Jiaonang	Oral
CPM02978	花百胶囊	Huabai Jiaonang	Topical
CPM02979	花粉祛痒止痛酊	Huafen Quyang Zhitong Ding	Topical
CPM02980	花红颗粒	Huahong Keli（Wutang）	Oral
CPM02981	花红片	Huahong Pian	Oral
CPM02982	花芪胶囊	Huaqi Jiaonang	Oral
CPM02983	花芪芎颗粒	Huaqixiong Keli	Oral
CPM02984	花蛇解痒胶囊	Huashe Jieyang Jiaonang	Oral
CPM02985	花蛇解痒片	Huashe Jieyang Pian	Oral
CPM02986	花藤子颗粒	Huatengzi Keli	Oral
CPM02987	花栀清肝颗粒	Huazhi Qinggan Keli	Oral
CPM02988	华蟾素胶囊	Huachansu Jiaonang	Oral
CPM02989	华蟾素口服液	Huachansu Koufuye	Oral
CPM02990	华蟾素片	Huachansu Pian	Oral
CPM02991	华蟾素注射液	Huachansu Zhusheye	Injection
CPM02992	华容口服液	Huarong Koufuye	Oral
CPM02993	华山参滴丸	Huashanshen Diwan	Oral
