CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP00001	阿尔泰多榔菊		a er tai duo lang ju	Doronicum altaicum	Viridiplantae
CHP00002	阿氏蒿		a shi hao	Ashurbajev Wormwood*	Viridiplantae
CHP00003	阿魏	阿里红|臭阿魏	a wei	Resina Ferulae	Viridiplantae
CHP00004	阿育魏实		a yu wei shi	Fructus Trachyspermi ammi	Viridiplantae
CHP00005	埃蕾		ai lei	Centaurium pulchellum	Viridiplantae
CHP00006	矮醋栗		ai cu li	Ribes humile	Viridiplantae
CHP00007	矮脚苦蒿	金龙胆草	ai jiao ku hao	Eschenbachia blinii	Viridiplantae
CHP00008	矮茎朱砂根		ai jing zhu sha gen	Ardisia brevicaulis	Viridiplantae
CHP00009	矮冷水花	水石油菜	ai leng shui hua	Pilea peploides	Viridiplantae
CHP00010	矮人陀		ai ren tuo	Gynura pseudochina	Viridiplantae
CHP00011	艾纳香	艾片|艾纳香油|龙脑香|大风艾	ai na xiang	Balsamiferous Blumea	Viridiplantae
CHP00012	艾纳香根		ai na xiang gen	Blumea balsamifera	Viridiplantae
CHP00013	艾实		ai shi	Fructus Artemiiae argyi	Viridiplantae
CHP00014	艾叶	艾把|艾|艾叶油|艾绒	ai ye	leaf of Argy Wormwood	Viridiplantae
CHP00015	安哥拉八角枫		an ge la ba jiao feng	Angola Alangium	Viridiplantae
CHP00016	安徽贝母		an hui bei mu	Anhui Fritillary	Viridiplantae
CHP00017	安徽杜鹃		an hui du juan	Rhododendron maculiferum	Viridiplantae
CHP00018	安徽小檗	安徽刺黄柏	an hui xiao bo	Berberis anhweiensis	Viridiplantae
CHP00019	安息香		an xi xiang	Benzoinum	Viridiplantae
CHP00020	桉叶	桉叶油	an ye	Eucalyptus Leaf	Viridiplantae
CHP00021	桉油		an you	Oleum Eucalypti	Viridiplantae
CHP00022	庵闾		an lv	Artemisia keiskeana	Viridiplantae
CHP00023	暗紫贝母		an zi bei mu	Unibract Fritillary	Viridiplantae
CHP00024	凹瓦韦		ao wa wei	Lepisorus scolopendrius	Viridiplantae
CHP00025	八宝镇心丹		ba bao zhen xin dan	Ophiopogon dracaenoides	Viridiplantae
CHP00026	八角枫		ba jiao feng	Chinese Alangium Equivalent plant: Alangium platanifolium	Viridiplantae
CHP00027	八角枫根		ba jiao feng gen	Alangium chinense	Viridiplantae
CHP00028	八角枫花		ba jiao feng hua	Alangium chinense	Viridiplantae
CHP00029	八角枫叶		ba jiao feng ye	Alangium chinense	Viridiplantae
CHP00030	八角茴香	白木香|八角茴香油	ba jiao hui xiang	Fructus Anisi Stellati	Viridiplantae
CHP00031	八角金盘		ba jiao jin pan	Fatsia japonica	Viridiplantae
CHP00032	八角莲	八角莲叶|盾叶鬼臼|鬼臼	ba jiao lian	Dysosmae Verspiellis Rhixoma Et Radix	Viridiplantae
CHP00033	八月瓜	三叶莲	ba yue gua	Fructus Akebiae	Viridiplantae
CHP00034	八月札		ba yue zha	Akebia trifoliata var. australis	Viridiplantae
CHP00035	八月炸		ba yue zha	Akebia trifoliata	Viridiplantae
CHP00036	八爪金龙		ba zhao jin long	Ardisia crispa	Viridiplantae
CHP00037	巴豆	毛叶巴豆|生巴豆|哥伦比亚巴豆	ba dou	Fructus Crotonis	Viridiplantae
CHP00038	巴豆霜		ba dou shuang	Semen Crotonis Pulveratum	Viridiplantae
CHP00039	巴戟天	八戟天|巴戟肉|制巴戟天|盐巴戟天	ba ji tian	Radix Morindae Officinalis	Viridiplantae
CHP00040	巴拿马山石榴		ba na ma shan shi liu	Taiwan Malabar Randia	Viridiplantae
CHP00041	巴山虎		ba shan hu	Solanum lasiocarpum	Viridiplantae
CHP00042	巴西胡桐		ba xi hu tong	Brazilian Calaba	Viridiplantae
CHP00043	芭蕉根		ba jiao gen	Musa basjoo	Viridiplantae
CHP00044	芭蕉花	芭蕉	ba jiao hua	Musa basjoo	Viridiplantae
CHP00045	芭茅	苦芦骨	ba mao	Miscanthus floridulus	Viridiplantae
CHP00046	芭茅果		ba mao guo	Miscanthus floridulus	Viridiplantae
CHP00047	拔毒散		ba du san	Sida szechuensis	Viridiplantae
CHP00048	菝葜	蔓九节|金刚藤	ba qia	Rhizoma Smilacis Chinae	Viridiplantae
CHP00049	霸王鞭		ba wang bian	Royle Euphorbia Latex	Viridiplantae
CHP00050	白八角莲		bai ba jiao lian	White Dysosma	Viridiplantae
CHP00051	白苞筋骨草		bai bao jin gu cao	Ajuga lupulina	Viridiplantae
CHP00052	白背三七		bai bei san qi	Gynura divaricata	Viridiplantae
CHP00053	白背叶		bai bei ye	Whitebackleaf Mallotus	Viridiplantae
CHP00054	白补药		bai bu yao	Salvia scapiformis	Viridiplantae
CHP00055	白草		bai cao	Cenchrus centrasiaticus	Viridiplantae
CHP00056	白草根		bai cao gen	Rhizoma Penniseti Centrasiatici	Viridiplantae
CHP00057	白草莓	白藨	bai cao mei	Common Strawberry	Viridiplantae
CHP00058	白侧耳		bai ce er	Parnassia delavayi	Viridiplantae
CHP00059	白菖	菖蒲|藏菖蒲|水菖蒲	bai chang	Drug SweetfIag	Viridiplantae
CHP00060	白车轴草	三消草|白三叶草	bai che zhou cao	Trifolium repens	Viridiplantae
CHP00061	白刺		bai ci	Fructus Nitrariae Tangutori	Viridiplantae
CHP00062	白刺花		bai ci hua	Vetchleaf Sophora	Viridiplantae
CHP00063	白刺花叶		bai ci hua ye	Folium Sophorae davidi;Vetchleaf Sophora  Leaf	Viridiplantae
CHP00064	白带草		bai dai cao	Cardamine hirsuta	Viridiplantae
CHP00065	白地牛		bai di niu	Cynanchum mooreanum	Viridiplantae
CHP00066	白豆		bai dou	Vigna cylindrica	Viridiplantae
CHP00067	白独活		bai du huo	Heracleum candicans	Viridiplantae
CHP00068	白杜鹃花	白花映山红	bai du juan hua	Rhododendron mucronatum	Viridiplantae
CHP00069	白椴		bai duan	White Linden*	Viridiplantae
CHP00070	白垩铁线蕨		bai e tie xian jue	Adiantum caudatum	Viridiplantae
CHP00071	白饭豆		bai fan dou	Kidney Bean	Viridiplantae
CHP00072	白饭树		bai fan shu	Securinega virosa (Roxb. ex Willd.) Baill.	Viridiplantae
CHP00073	白饭树根		bai fan shu gen	Radix Flueggeae virosae	Viridiplantae
CHP00074	白饭树叶		bai fan shu ye	Flueggea virosa	Viridiplantae
CHP00075	白粉蕨		bai fen jue	Aleuritopteris kuhnii	Viridiplantae
CHP00076	白附子	生白附子|白附|禹白附|制白附子	bai fu zi	Rhizoma Typhonii	Viridiplantae
CHP00077	白桂		bai gui	Neocinnamomum caudatum	Viridiplantae
CHP00078	白果根	银杏根	bai guo gen	Ginkgo Root	Viridiplantae
CHP00079	白果槲寄生		bai guo hu ji sheng	White Mistletoe	Viridiplantae
CHP00080	白果紫草		bai guo zi cao	Common Gromwell	Viridiplantae
CHP00081	白蒿	大籽蒿	bai hao	Sievers Wormwood	Viridiplantae
CHP00082	白蒿花		bai hao hua	Artemisia sieversiana	Viridiplantae
CHP00083	白鹤灵芝		bai he ling zhi	Bignose Rhiancanthus	Viridiplantae
CHP00084	白鹤藤		bai he teng	Argyreia acuta	Viridiplantae
CHP00085	白鹤藤根		bai he teng gen	Argyreia acuta	Viridiplantae
CHP00086	白花菜		bai hua cai	Gynandropsis gynandra	Viridiplantae
CHP00087	白花菜根		bai hua cai gen	Gynandropsis gynandra	Viridiplantae
CHP00088	白花菜子		bai hua cai zi	Semen Cleomis	Viridiplantae
CHP00089	白花柴		bai hua chai	Tirpitzia ovoidea	Viridiplantae
CHP00090	白花丹		bai hua dan	Whiteflower Leadword	Viridiplantae
CHP00091	白花灯笼	鬼灯笼	bai hua deng long	Clerodendrum fortunatum	Viridiplantae
CHP00092	白花杆		bai hua gan	Philadelphus sericanthus	Viridiplantae
CHP00093	白花蛇舌草		bai hua she she cao	Herba Hedyotis Diffusae	Viridiplantae
CHP00094	白花射干	扁蒲扇	bai hua ye gan	Vesper Iris	Viridiplantae
CHP00095	白花藤		bai hua teng	Caulis Trachelospermi	Viridiplantae
CHP00096	白花夏枯草		bai hua xia ku cao	Dracoccephalum heterophyllum Benth	Viridiplantae
CHP00097	白花苋		bai hua xian	Ouret sanguinolenta	Viridiplantae
CHP00098	白花油麻藤		bai hua you ma teng	Whiteflower Mucuna	Viridiplantae
CHP00099	白及	白矶|白芨|兰屿白芨	bai ji	Rhizoma Bletillae	Viridiplantae
CHP00100	白胶香	枫香脂	bai jiao xiang	Beautiful Sweetgum Resin	Viridiplantae
CHP00101	白芥		bai jie	Caulis et Folium Sinapis albae	Viridiplantae
CHP00102	白芥子		bai jie zi	Semen Sinapis	Viridiplantae
CHP00103	白金果榄	变色马兜铃	bai jin guo lan	Aristolochia versicolor	Viridiplantae
CHP00104	白菊花根		bai ju hua gen	Chrysanthemum morifoliumRamat	Viridiplantae
CHP00105	白蔻		bai kou	Alpinia tonkinensis	Viridiplantae
CHP00106	白蜡树皮	秦皮|尖叶梣	bai la shu pi	Fraxinus chinensis	Viridiplantae
CHP00107	白辣蓼		bai la liao	Persicaria longiseta	Viridiplantae
CHP00108	白兰花		bai lan hua	Bailan Flower	Viridiplantae
CHP00109	白兰花叶		bai lan hua ye	Magnolia alba	Viridiplantae
CHP00110	白蓝翠雀花		bai lan cui que hua	Delphinium albocoeruleum	Viridiplantae
CHP00111	白榄根		bai lan gen	Canarium album	Viridiplantae
CHP00112	白榔皮		bai lang pi	Sterculia villosa	Viridiplantae
CHP00113	白栎蔀		bai li bu	Quercus fabri	Viridiplantae
CHP00114	白蔹		bai lian	root of Japanese Ampelopsis	Viridiplantae
CHP00115	白蔹子		bai lian zi	Fructus Ampelopsis japponicae	Viridiplantae
CHP00116	白粱米		bai liang mi	Setaria italica	Viridiplantae
CHP00117	白柳		bai liu	Salix alba	Viridiplantae
CHP00118	白绿叶果实		bai lv ye guo shi	Elaeagnus viridis	Viridiplantae
CHP00119	白马骨		bai ma gu	all - grass of Snow of June.	Viridiplantae
CHP00120	白马骨根		bai ma gu gen	Serissa japonica	Viridiplantae
CHP00121	白毛藤	鬼目|千年不烂心	bai mao teng	Herba Solani Lyrati	Viridiplantae
CHP00122	白毛藤根		bai mao teng gen	Solanum lyratum	Viridiplantae
CHP00123	白毛委陵菜		bai mao wei ling cai	Potentilla conferta	Viridiplantae
CHP00124	白茅根	茅根	bai mao gen	Rhizoma Imperatae	Viridiplantae
CHP00125	白茅花		bai mao hua	Imperata cylindrica	Viridiplantae
CHP00126	白茅针		bai mao zhen	Imperata cylindrica	Viridiplantae
CHP00127	白梅		bai mei	Armeniaca mume	Viridiplantae
CHP00128	白木		bai mu	Micromelum falcatum	Viridiplantae
CHP00129	白楠木		bai nan mu	Machilus pauhoi	Viridiplantae
CHP00130	白牛胆	山白芷|羊耳菊	bai niu dan	Herba Inulae cappae	Viridiplantae
CHP00131	白牛胆根		bai niu dan gen	Inula Cappa (Ham.) Dc	Viridiplantae
CHP00132	白皮柯		bai pi ke	Lithocarpus dealbatus	Viridiplantae
CHP00133	白婆婆纳		bai po po na	Veronica incana	Viridiplantae
CHP00134	白千层		bai qian ceng	Cajeput-tree	Viridiplantae
CHP00135	白前	无叶白前	bai qian	Rhizoma et Radix Cynanchi Stauntonii	Viridiplantae
CHP00136	白枪杆根		bai qiang gan gen	Fraxinus malacophylla	Viridiplantae
CHP00137	白屈菜		bai qu cai	Herba Chelidonii	Viridiplantae
CHP00138	白屈菜根		bai qu cai gen	Radix Chelidonii maji	Viridiplantae
CHP00139	白山苔		bai shan tai	Rhododendron tomentosum	Viridiplantae
CHP00140	白首乌	隔山消	bai shou wu	Bunge Swallowwort Equivalent plant: Cynanchum auriculatum; Cynanchum bungei; Bunge SwaIIowwort	Viridiplantae
CHP00141	白薯莨		bai shu liang	Hispid Yam	Viridiplantae
CHP00142	白术	麸炒白术|炒白术	bai zhu	rhizome of Largehead Atractylodes	Viridiplantae
CHP00143	白松塔		bai song ta	Pinus bungeana	Viridiplantae
CHP00144	白檀		bai tan	Symplocos paniculata	Viridiplantae
CHP00145	白藤		bai teng	Calamus tetradactylus	Viridiplantae
CHP00146	白头翁		bai tou weng	Root of Chinese Pulsatilla	Viridiplantae
CHP00147	白头翁花		bai tou weng hua	bloom of Radix Pulsatillae Chinensis	Viridiplantae
CHP00148	白透骨消		bai tou gu xiao	Glechoma biondiana	Viridiplantae
CHP00149	白土茯苓		bai tu fu ling	Smilax goeringii	Viridiplantae
CHP00150	白薇		bai wei	Radix et Rhizoma Cynanchi Atrati	Viridiplantae
CHP00151	白鲜皮		bai xian pi	Dictamni Cortex	Viridiplantae
CHP00152	白苋		bai xian	Amaranthus viridis	Viridiplantae
CHP00153	白杨树皮		bai yang shu pi	Populus davidiana	Viridiplantae
CHP00154	白药		bai yao	Aconitum duclouxii	Viridiplantae
CHP00155	白叶火草	舒戛千里光	bai ye huo cao	Synotis nagensium	Viridiplantae
CHP00156	白叶藤		bai ye teng	Chinese Cryptolepis	Viridiplantae
CHP00157	白英		bai ying	Solanum lyratum	Viridiplantae
CHP00158	白颖苔草		bai ying tai cao	Carex duriuscula	Viridiplantae
CHP00159	白鱼尾	白背枫	bai yu wei	Buddleja asiatica	Viridiplantae
CHP00160	白鱼尾果		bai yu wei guo	Buddleja asiatica	Viridiplantae
CHP00161	白脂麻		bai zhi ma	Sesamum indicum	Viridiplantae
CHP00162	白芷	香白芷|白苟|酒白苟|大活	bai zhi	Radix Angelicae Dahuricae	Viridiplantae
CHP00163	白芷叶		bai zhi ye	Angelica dahurica	Viridiplantae
CHP00164	白朱砂莲		bai zhu sha lian	Aristolochia tuberosa	Viridiplantae
CHP00165	白珠树	透骨香	bai zhu shu	CommonGaultheria	Viridiplantae
CHP00166	白紫草		bai zi cao	Antiotrema dunnianum	Viridiplantae
CHP00167	百步还阳丹		bai bu huan yang dan	Ponerorchis cucullata	Viridiplantae
CHP00168	百部	蜜百部|百部干|对叶百部	bai bu	Radix Stemonae	Viridiplantae
CHP00169	百部还魂		bai bu huan hun	Gymnotheca chinensis	Viridiplantae
CHP00170	百合	百路通	bai he	Bulbus Lilii	Viridiplantae
CHP00171	百合子		bai he zi	Semen Lilii brownii	Viridiplantae
CHP00172	百解马兜铃		bai jie ma dou ling	Aristolochia westlandii	Viridiplantae
CHP00173	百里香	地椒	bai li xiang	Breckland Thyme	Viridiplantae
CHP00174	百里香叶杜鹃		bai li xiang ye du juan	Rhododendron thymifolium	Viridiplantae
CHP00175	百脉根	地羊鹊	bai mai gen	Lotus corniculatus	Viridiplantae
CHP00176	百蕊草		bai rui cao	Chinese Bastardtoadflax	Viridiplantae
CHP00177	百蕊草根		bai rui cao gen	Thesium chinense	Viridiplantae
CHP00178	百眼藤		bai yan teng	Littleleaf Indianmulberry	Viridiplantae
CHP00179	柏根白皮		bai gen bai pi	Cortex Platycladi orientalis	Viridiplantae
CHP00180	柏树		bai shu	Cupressus funebris	Viridiplantae
CHP00181	柏树根		bai shu gen	Callitropsis funebris	Viridiplantae
CHP00182	柏树果		bai shu guo	Cupressus funebris	Viridiplantae
CHP00183	柏树叶		bai shu ye	Chinese Weeping Cypress Leaf	Viridiplantae
CHP00184	柏树油		bai shu you	Cupressus funebris	Viridiplantae
CHP00185	柏脂		bai zhi	Platycladus orientalis	Viridiplantae
CHP00186	柏子仁	柏子仁霜	bai zi ren	Semen Platycladi	Viridiplantae
CHP00187	败酱草	白花败酱草|败酱|黄花败酱草|黄花败酱	bai jiang cao	All - grass of Dahurian Patrinia	Viridiplantae
CHP00188	稗根苗		bai gen miao	Echinochloa crus-galli	Viridiplantae
CHP00189	斑草	大尾摇	ban cao	Indian  Heliotrope	Viridiplantae
CHP00190	斑点虎耳草		ban dian hu er cao	Micranthes punctata	Viridiplantae
CHP00191	斑鸠菊		ban jiu ju	Edible Bitterleaf	Viridiplantae
CHP00192	斑鸠木		ban jiu mu	Strobocalyx solanifolia	Viridiplantae
CHP00193	斑鸠占		ban jiu zhan	Premna fulva	Viridiplantae
CHP00194	斑鸠占叶		ban jiu zhan ye	Premna fulva	Viridiplantae
CHP00195	斑茅		ban mao	Tripidium arundinaceum	Viridiplantae
CHP00196	斑茅花		ban mao hua	Tripidium arundinaceum	Viridiplantae
CHP00197	斑叶堇菜		ban ye jin cai	Viola variegata	Viridiplantae
CHP00198	斑叶紫金牛	小罗伞|血党	ban ye zi jin niu	Ardisia punctata	Viridiplantae
CHP00199	半把伞		ban ba san	Neocheiropteris palmatopedata	Viridiplantae
CHP00200	半边风		ban bian feng	Liquidambar chinensis	Viridiplantae
CHP00201	半边莲		ban bian lian	Chinese Lobelia Herb	Viridiplantae
CHP00202	半边藕		ban bian ou	Dipteris chinensis	Viridiplantae
CHP00203	半边旗		ban bian qi	pinnated brake herb	Viridiplantae
CHP00204	半边钱		ban bian qian	Christia obcordata	Viridiplantae
CHP00205	半边山		ban bian shan	Elatostema sublineare	Viridiplantae
CHP00206	半边苏		ban bian su	Common Elsholtzia	Viridiplantae
CHP00207	半春莲		ban chun lian	Platanthera ussuriensis	Viridiplantae
CHP00208	半枫荷		ban feng he	Pterospermum heterophyllum	Viridiplantae
CHP00209	半夏	生半夏|仙半夏|掌叶半夏|姜半夏|清半夏|水半夏|法半夏|制半夏	ban xia	Pinellia ternata	Viridiplantae
CHP00210	半夏曲		ban xia qu	Rhizoma Pinelliae Fermentata	Viridiplantae
CHP00211	半圆盖阴石蕨		ban yuan gai yin shi jue	Davallia platylepis	Viridiplantae
CHP00212	半枝莲		ban zhi lian	all - grass of Barbed Skullcap	Viridiplantae
CHP00213	榜嘎	船形乌头	bang ga	all-grass of Scaphoidhelmet monkshood	Viridiplantae
CHP00214	棒棒木		bang bang mu	Celtis bungeana	Viridiplantae
CHP00215	苞蔷薇根	硕苞蔷薇	bao qiang wei gen	Rosa bracteata	Viridiplantae
CHP00216	薄荷	薄荷冰|薄菏|薄荷水|兴安薄荷|薄荷脑|薄荷香|薄荷油|薄荷素油	bo he	Herba Menthae	Viridiplantae
CHP00217	薄荷露		bo he lu	Mentha canadensis	Viridiplantae
CHP00218	薄雪火绒草		bao xue huo rong cao	Leontopodium japonicum	Viridiplantae
CHP00219	薄叶卷柏		bao ye juan bai	Selaginella delicatula	Viridiplantae
CHP00220	宝盖草		bao gai cao	Henbit Deadnettle	Viridiplantae
CHP00221	保山乌头	保山附片|雪上一支篙|小白撑	bao shan wu tou	Paoshan Monkshood	Viridiplantae
CHP00222	报春花		bao chun hua	Fairy Primrose	Viridiplantae
CHP00223	抱茎獐牙菜		bao jing zhang ya cai	Amplexicaul Swertia	Viridiplantae
CHP00224	豹皮樟		bao pi zhang	Litsea coreana	Viridiplantae
CHP00225	暴马子皮		bao ma zi pi	bark of manchurian lilac	Viridiplantae
CHP00226	杯苋	蛇见怕	bei xian	Cyathula prostrata	Viridiplantae
CHP00227	北豆	蝙蝠葛	bei dou	Menispermum dauricum	Viridiplantae
CHP00228	北豆根	蝙蝠葛根	bei dou gen	Rhizoma Menispermi	Viridiplantae
CHP00229	北沙参		bei sha shen	root of Coastal Glehnia	Viridiplantae
CHP00230	北丝石竹		bei si shi zhu	Gypsophila davurica	Viridiplantae
CHP00231	北玄参		bei xuan can	Buerger Figwort	Viridiplantae
CHP00232	北野菊		bei ye ju	Boreal Wild Chrysanthemum	Viridiplantae
CHP00233	北鱼黄草		bei yu huang cao	Merremia sibirica	Viridiplantae
CHP00234	贝加尔唐松草		bei jia er tang song cao	Baikal Meadowrue	Viridiplantae
CHP00235	贝母兰		bei mu lan	Common Coelogyne	Viridiplantae
CHP00236	荸荠		bi qi	Eleocharis dulcis	Viridiplantae
CHP00237	笔管榕		bi guan rong	Ficus wightiana	Viridiplantae
CHP00238	荜茇	荜苃|筚茇|荜拔|荜茇油|荜菝	bi ba	Piperis Longi Fructus	Viridiplantae
CHP00239	荜茇根	荜苃根	bi ba gen	Radix Piperis longi;Long Pepper Root	Viridiplantae
CHP00240	荜澄茄	山苍子|豆豉姜|山鸡椒	bi cheng jia	Litseae Fructus	Viridiplantae
CHP00241	萆薢	福州薯蓣|粉萆薢|川萆薢	bi xie	Rhizoma Dioscoreae Hypoglaucae	Viridiplantae
CHP00242	蓖麻		bi ma	Ricinus communis	Viridiplantae
CHP00243	蓖麻根		bi ma gen	Castorbean Root	Viridiplantae
CHP00244	蓖麻叶		bi ma ye	Castorbean Leaf	Viridiplantae
CHP00245	蓖麻油		bi ma you	Oleum Ricini	Viridiplantae
CHP00246	蓖麻子	蓖麻仁	bi ma zi	Semen Ricini	Viridiplantae
CHP00247	薜荔	薜荔汁	bi li	Climbing Fig	Viridiplantae
CHP00248	薜荔根		bi li gen	Ficus pumila	Viridiplantae
CHP00249	薜荔果		bi li guo	Ficus pumila	Viridiplantae
CHP00250	篦子三尖杉		bi zi san jian shan	Oliver Plumyew	Viridiplantae
CHP00251	边缘鳞盖蕨		bian yuan lin gai jue	Marginate Microlepia	Viridiplantae
CHP00252	萹蓄		bian xu	Herba Polygoni Avicularis	Viridiplantae
CHP00253	蝙蝠草	双飞蝴蝶	bian fu cao	Christia vespertilionis	Viridiplantae
CHP00254	鞭打绣球		bian da xiu qiu	Diversifolious Hemiphragma	Viridiplantae
CHP00255	鞭叶耳蕨		bian ye er jue	Polystichum craspedosorum	Viridiplantae
CHP00256	鞭叶铁线蕨		bian ye tie xian jue	Walking Maidenhair	Viridiplantae
CHP00257	扁担杆	娃娃拳|吉利子树	bian dan gan	Grewia biloba	Viridiplantae
CHP00258	扁豆	扁豆花|白扁豆	bian dou	Semen Lablab Album	Viridiplantae
CHP00259	扁果		bian guo	Searsia paniculata	Viridiplantae
CHP00260	扁蕾		bian lei	Gentianopsis barbata	Viridiplantae
CHP00261	扁桃斑鸠菊		bian tao ban jiu ju	Bitterleaf	Viridiplantae
CHP00262	扁藤	扁藤叶	bian teng	Tetrastigma planicaule	Viridiplantae
CHP00263	扁樱桃		bian ying tao	Eugenia uniflora	Viridiplantae
CHP00264	扁竹测	复生草	bian zhu ce	Tofieldia divergens	Viridiplantae
CHP00265	扁竹根		bian zhu gen	Rhizoma seu Radix Iridis japoniae	Viridiplantae
CHP00266	扁竹兰		bian zhu lan	Rohdea wattii	Viridiplantae
CHP00267	变叶胡椒		bian ye hu jiao	Piper mutabile	Viridiplantae
CHP00268	变异鳞毛蕨		bian yi lin mao jue	Dryopteris varia	Viridiplantae
CHP00269	遍地金		bian di jin	Wight’s St.John’swort	Viridiplantae
CHP00270	辫子草根		bian zi cao gen	Leptodesmia microphylla	Viridiplantae
CHP00271	杓儿菜	挖耳草根	biao er cai	Carpesium cernuum	Viridiplantae
CHP00272	滨海前胡		bin hai qian hu	Japan Hogfennel	Viridiplantae
CHP00273	滨旋花	孝扇草根	bin xuan hua	Calystegia soldanella	Viridiplantae
CHP00274	槟榔	摈榔|大腹皮|槟榔花|枣槟榔	bing lang	areca seed	Viridiplantae
CHP00275	冰糖草		bing tang cao	Scoparia dulcis	Viridiplantae
CHP00276	柄果槲寄生		bing guo hu ji sheng	Stipefruit Mistletoe	Viridiplantae
CHP00277	波棱瓜		bo leng gua	Herpetospermum pedunculosum	Viridiplantae
CHP00278	波罗蜜树液		bo luo mi shu ye	Artocarpus heterophyllus	Viridiplantae
CHP00279	波叶紫金牛		bo ye zi jin niu	Ardisia affinis	Viridiplantae
CHP00280	波缘楤木		bo yuan song mu	Aralia undulata	Viridiplantae
CHP00281	菠菜		bo cai	Spinish	Viridiplantae
CHP00282	菠菜子		bo cai zi	Spinacia oleracea	Viridiplantae
CHP00283	菠萝皮		bo luo pi	Ananas comosus	Viridiplantae
CHP00284	播娘蒿	葶苈草	bo niang hao	Flixweed Tansymustard Seed	Viridiplantae
CHP00285	伯乐树		bo le shu	Bretschneidera sinensis	Viridiplantae
CHP00286	博落回		bo luo hui	Pink Plumepoppy	Viridiplantae
CHP00287	卜芥		bo jie	Alocasia cucullata	Viridiplantae
CHP00288	补骨脂	盐补骨脂	bu gu zhi	Malaytea scurfpea	Viridiplantae
CHP00289	补血草	中华补血草	bu xue cao	Gmelin Sealavender Herb	Viridiplantae
CHP00290	补血薯	七叶薯	bu xue shu	Dioscorea esquirolii	Viridiplantae
CHP00291	不凋木		bu diao mu	Osteomeles schwerinae	Viridiplantae
CHP00292	布渣叶	布渣|破布叶	bu zha ye	Microctis Folium	Viridiplantae
CHP00293	菜豆树		cai dou shu	Asia Belltree	Viridiplantae
CHP00294	菜蓟		cai ji	GIobe Artichoke	Viridiplantae
CHP00295	菜子七		cai zi qi	Cardamine leucantha	Viridiplantae
CHP00296	蚕豆		can dou	Broadbean	Viridiplantae
CHP00297	蚕豆花		can dou hua	Vicia faba	Viridiplantae
CHP00298	苍耳	苍耳花|苍耳草	cang er	Siberian Cocklebur	Viridiplantae
CHP00299	苍耳根		cang er gen	Radix Xanthii sibirici	Viridiplantae
CHP00300	苍耳子	苍耳子油	cang er zi	fruit of Siberian Cockleblur	Viridiplantae
CHP00301	苍山黄堇		cang shan huang jin	Corydalis delavayi	Viridiplantae
CHP00302	苍山橐吾		cang shan tuo wu	Ligularia tsangchanensis	Viridiplantae
CHP00303	苍术	仓术	cang zhu	Rhizome of Swordlike Atractylodes	Viridiplantae
CHP00304	藏报春		cang bao chun	Primula sinensis	Viridiplantae
CHP00305	藏边大黄	白牛尾七	cang bian dai huang	Austral Rhubarb	Viridiplantae
CHP00306	藏红花	西红花|番红花	zang hong hua	Crocus sativus	Viridiplantae
CHP00307	藏绵芪		cang mian qi	Astragalus tibetanus	Viridiplantae
CHP00308	藏青果	西青果	zang qing guo	Fructus Chebulae Immaturus	Viridiplantae
CHP00309	糙苏	牛王肺筋草	cao su	Jerusalemsage	Viridiplantae
CHP00310	糙叶千里光		cao ye qian li guang	Senecio asperifolius	Viridiplantae
CHP00311	草柏枝		cao bai zhi	Pterygiella tenuisecta	Viridiplantae
CHP00312	草本威灵仙	斩龙剑|草灵仙	cao ben wei ling xian	Veronicastrum sibiricum (L.) Pennell	Viridiplantae
CHP00313	草苁蓉		cao cong rong	Boschniakia Rossica Herba	Viridiplantae
CHP00314	草地黄芩	川黄芩	cao di huang qin	Scutellaria hypericifolia	Viridiplantae
CHP00315	草豆蔻	小草蔻	cao dou kou	Semen Alpiniae Katsumadai	Viridiplantae
CHP00316	草果	草果仁	cao guo	Fructus Tsaoko	Viridiplantae
CHP00317	草果药		cao guo yao	Hedychium spicatum	Viridiplantae
CHP00318	草胡椒		cao hu jiao	Shiny Peperomia	Viridiplantae
CHP00319	草莓		cao mei	Common Strawberry	Viridiplantae
CHP00320	草牡丹		cao mu dan	Clematis heracleifolia	Viridiplantae
CHP00321	草问荆		cao wen jing	Meadaw Horsetail	Viridiplantae
CHP00322	草乌	生草乌|生草鸟|制草乌|北乌头|射罔|制黄草乌|滇草乌	cao wu	Prepared Kusnezoff Monkshood Root	Viridiplantae
CHP00323	草乌叶		cao wu ye	Kusnezoff Monkshood Leaf	Viridiplantae
CHP00324	草香附		cao xiang fu	Juncus amplifolius	Viridiplantae
CHP00325	草泽泻		cao ze xie	Alisma gramineum	Viridiplantae
CHP00326	侧柏叶	刺柏叶|侧柏|柏叶	ce bai ye	leafy twigs of Oriental Arborvitae	Viridiplantae
CHP00327	侧柏枝节	柏枝节	ce bai zhi jie	Chinese Arborvitae Branch	Viridiplantae
CHP00328	叉枝鸦葱	苦葵鸦葱	cha zhi ya cong	Lipschitzia divaricata	Viridiplantae
CHP00329	茶膏		cha gao	Camellia sinensis	Viridiplantae
CHP00330	茶花	白花茶	cha hua	Tea Flower	Viridiplantae
CHP00331	茶树根		cha shu gen	Tea Root	Viridiplantae
CHP00332	茶条槭	桑芽	cha tiao qi	Amur Maple	Viridiplantae
