CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05676	紫苏	白苏|回回苏|尖紫苏|紫苏油	zi su	Perilla Frutescens;Acute Common PeriIIa;Common PeriIIa	Viridiplantae
CHP05677	紫苏苞		zi su bao	Calyx Perillae frutescentis	Viridiplantae
CHP05678	紫苏梗	白苏梗	zi su geng	Common Perilla Stem Equivalent plant: Perilla frutescens var crispa	Viridiplantae
CHP05679	紫苏叶	白苏叶|紫苏叶油	zi su ye	Common Perilla Leaf Equivalent plant: Perilla frutescens var acuta;Common Perilla Leaf;Acute Common PeriIIa Leaf	Viridiplantae
CHP05680	紫苏子	白苏子|紫苏子油	zi su zi	Perilia Fruit	Viridiplantae
CHP05681	紫穗槐		zi sui huai	Indigobush Amorpha	Viridiplantae
CHP05682	紫檀	紫檀香	zi tan	Burmacoast Padauk;Osun Padauk	Viridiplantae
CHP05683	紫藤		zi teng	Chinese Wisteria	Viridiplantae
CHP05684	紫藤根		zi teng gen	Radix Wisteriae sinensis	Viridiplantae
CHP05685	紫藤子		zi teng zi	Chinese Wisteria Seed	Viridiplantae
CHP05686	紫筒草		zi tong cao	Stenosolenium saxatile	Viridiplantae
CHP05687	紫菀	蜜紫菀|紫菀花|紫苑	zi wan	Radix et Rhizoma Asteris	Viridiplantae
CHP05688	紫葳根		zi wei gen	Common Crapemyrtle Root	Viridiplantae
CHP05689	紫葳茎叶		zi wei jing ye	Chinese Trumpetcreeper Stem-leaf	Viridiplantae
CHP05690	紫薇		zi wei	Lagerstroemia indica	Viridiplantae
CHP05691	紫薇根		zi wei gen	Common CrapemyrtIe Root	Viridiplantae
CHP05692	紫薇花		zi wei hua	Common Crapemyrtle Flower	Viridiplantae
CHP05693	紫薇皮		zi wei pi	Lagerstroemia indica	Viridiplantae
CHP05694	紫薇叶		zi wei ye	Common Crapemyrtle Leaf	Viridiplantae
CHP05695	紫雪花		zi xue hua	Indian Leadword	Viridiplantae
CHP05696	紫鸭跖草		zi ya zhi cao	Tradescantia virginiana	Viridiplantae
